tarehe_ya_data,month,season,begin_time,end_time,hours,lon,lat,region,district,kijiji,mwalo_bandari_diko,sehemu_aliyovua_locality,idadi_ya_wavuvi_chomboni,aina_ya_mtego,aina_ya_samaki,Groups,local_name,uzito,idadi,cpue,cpue.check
23/02/2020,2,NE,2020-02-23T20:00:00Z,2020-02-24T05:30:00Z,9.5,39.12895,-5.08757,Tanga,Tanga City,Sahare,Kasera,Ulenge,16,RN,Sardine,Sardines,NA,160,8,16.84210526,16.84210526
23/02/2020,2,NE,2020-02-23T21:00:00Z,2020-02-24T05:30:00Z,8.5,39.02178,-5.54214,Tanga,Pangani,Pangani Mashariki,Magarawani,Mwera zinga,24,RN,Sardine,Sardines,NA,200,10,23.52941176,23.52941176
23/02/2020,2,NE,2020-02-23T21:05:00Z,2020-02-24T05:12:00Z,8.12,39.15816,-4.78459,Tanga,Mkinga,Zingibari,Petukiza,Kiroba,21,RN,Stolephorus commersonii,Anchovy,NA,300,3,36.96098562,36.94581281
23/02/2020,2,NE,2020-02-23T23:30:00Z,2020-02-24T05:00:00Z,5.5,39.43497,-8.41361,Lindi,Kilwa,Somanga,Mbuyuni,Machange,13,RN,Sardine,Sardines,NA,198,11,36,36
24/02/2020,2,NE,2020-02-24T05:00:00Z,2020-02-24T08:00:00Z,3,39.12386,-5.09247,Tanga,Mkinga,Zingibari,Petukiza,Funguni,34,RN,Rastrelliger kanagurta,Mackerel,NA,4,100,1.333333333,1.333333333
24/02/2020,2,NE,2020-02-24T06:30:00Z,2020-02-24T10:20:00Z,3.83,40.38447,-10.34856,Mtwara,Mtwara Urban,Shangani East,Feri,Kivale juu,18,RN,Auxis rochei,Tuna,NA,153,128,39.91304348,39.94778068
24/02/2020,2,NE,2020-02-24T08:00:00Z,2020-02-24T11:00:00Z,3,39.22711,-4.73673,Tanga,Mkinga,Zingibari,Petukiza,Kishangan,22,RN,Mackerel(scomber),Mackerel,NA,40,2,13.33333333,13.33333333
24/02/2020,2,NE,2020-02-24T08:31:00Z,2020-02-24T13:28:00Z,4.95,40.37448,-10.31507,Mtwara,Mtwara Rural,Mnazi,Mnazi Bay,MSILO NDOGO,19,RN,Sphyraena barracuda,Dermesal,NA,80,8,16.16161616,16.16161616
24/02/2020,2,NE,2020-02-24T10:30:00Z,2020-02-24T11:30:00Z,1,39.2457,-4.83984,Tanga,Mkinga,Zingibari,Petukiza,Kwamzungu,21,RN,Selar crumenophthalmus,Caranx,NA,60,3,60,60
25/02/2020,2,NE,2020-02-25T02:30:00Z,2020-02-25T06:00:00Z,3.5,39.15554,-4.78786,Tanga,Mkinga,Zingibari,Petukiza,Bunju,17,RN,Auxis thazard,Tuna,NA,340,34,97.14285714,97.14285714
25/02/2020,2,NE,2020-02-25T06:20:00Z,2020-02-25T09:15:00Z,2.92,39.20936,-6.64101,Dar es Salaam,Kinondoni,Kunduchi Pwani,Kunduchi Pwani,Ununio,59,RN,Sardine,Sardines,NA,350,350,120,119.8630137
25/02/2020,2,NE,2020-02-25T08:14:00Z,2020-02-25T12:53:00Z,4.65,40.37448,-10.31507,Mtwara,Mtwara Rural,Mnazi,Mnazi Bay,MLAMBA,18,RN,Caranx tille,Caranx,NA,40,4,8.602150538,8.602150538
25/02/2020,2,NE,2020-02-25T11:00:00Z,2020-02-25T14:00:00Z,3,39.15554,-4.78786,Tanga,Mkinga,Zingibari,Petukiza,Funguni,17,RN,Auxis thazard,Tuna,NA,340,34,113.3333333,113.3333333
25/02/2020,2,NE,2020-02-25T20:59:00Z,2020-02-26T05:30:00Z,8.52,39.22794,-4.72497,Tanga,Mkinga,Zingibari,Petukiza,Kwamzungu,23,RN,Sardine,Sardines,NA,300,30,35.22504892,35.21126761
26/02/2020,2,NE,2020-02-26T06:05:00Z,2020-02-26T10:00:00Z,3.92,39.20932,-6.64096,Dar es Salaam,Kinondoni,Kunduchi Pwani,Kunduchi Pwani,Uninio,55,RN,Sardine,Sardines,NA,240,24,61.27659574,61.2244898
26/02/2020,2,NE,2020-02-26T07:20:00Z,2020-02-26T10:50:00Z,3.5,40.37954,-10.30998,Mtwara,Mtwara Urban,Kiyanga,Uyavi,VETA,20,RN,Auxis thazard,Tuna,NA,260,400,74.28571429,74.28571429
26/02/2020,2,NE,2020-02-26T19:00:00Z,2020-02-27T05:30:00Z,10.5,39.66108,-5.06474,Pemba,Wete,Selemu,Wete Pwani,Fundo,18,RN,Decapterus macrosoma,Mackerel,Msumari,540,27,51.42857143,51.42857143
26/02/2020,2,NE,2020-02-26T19:02:00Z,2020-02-27T04:14:00Z,9.2,39.05959,-5.56092,Tanga,Pangani,Pangani Mashariki,Magarawani,Dachi,22,RN,Sardine,Sardines,NA,40,2,4.347826087,4.347826087
26/02/2020,2,NE,2020-02-26T19:25:00Z,2020-02-27T05:30:00Z,10.08,39.67394,-7.84595,Pwani,Mafia,Chunguruma,Tumbuju,Mfuluni,12,RN,Dagaa,Anchovy,Dagaa mchele,50,5,4.96031746,4.96031746
26/02/2020,2,NE,2020-02-26T20:00:00Z,2020-02-26T23:00:00Z,3,39.15791,-4.7847,Tanga,Mkinga,Zingibari,Petukiza,Kishangani,23,RN,Dussumieria acuta,Anchovy,NA,500,25,166.6666667,166.6666667
26/02/2020,2,NE,2020-02-26T23:38:00Z,2020-02-27T01:38:00Z,2,39.15819,-4.78462,Tanga,Mkinga,Zingibari,Petukiza,Kiroba,20,RN,Sardine,Sardines,NA,300,15,150,150
27/02/2020,2,NE,2020-02-27T02:00:00Z,2020-02-27T06:30:00Z,4.5,39.15549,-4.78786,Tanga,Mkinga,Zingibari,Petukiza,Mwani,18,RN,Sphyraena putnamiae,Dermesal,NA,10,9,2.222222222,2.222222222
27/02/2020,2,NE,2020-02-27T06:00:00Z,2020-02-27T12:00:00Z,6,39.29304,-8.39226,Lindi,Kilwa,Somanga,Mbuyuni,Mwamba uso,9,RN,Loligo spp,Others,NA,8,4,1.333333333,1.333333333
27/02/2020,2,NE,2020-02-27T06:30:00Z,2020-02-27T12:20:00Z,5.83,40.3392,-10.33543,Mtwara,Mtwara Urban,Shangani East,Feri,Veta,28,RN,Auxis rochei,Tuna,NA,80.5,161,13.8,13.80789022
27/02/2020,2,NE,2020-02-27T06:30:00Z,2020-02-27T12:20:00Z,5.83,40.33005,-10.33729,Mtwara,Mtwara Urban,Shangani East,Feri,Veta,28,RN,Decapterus russelli,Mackerel,NA,12,26,2.057142857,2.058319039
27/02/2020,2,NE,2020-02-27T06:35:00Z,2020-02-27T12:45:00Z,6.17,40.32661,-10.35315,Mtwara,Mtwara Urban,Kiyanga,Uyavi,Mwantuona,23,RN,Katsuwonus pelamis,Tuna,NA,42,70,6.81081081,6.80713128
27/02/2020,2,NE,2020-02-27T06:40:00Z,2020-02-27T09:11:00Z,2.52,39.65285,-6.65285,Dar es Salaam,Kinondoni,Kunduchi Pwani,Kunduchi Pwani,Ununio,52,RN,Sardine,Sardines,NA,220,22,87.41721853,87.3015873
27/02/2020,2,NE,2020-02-27T08:00:00Z,2020-02-27T11:30:00Z,3.5,39.148,-5.4139,Tanga,Pangani,Kipumbwi,Kipumbwi,Mkwaja,18,RN,Amblygaster sirm,Anchovy,NA,320,4,91.42857143,91.42857143
27/02/2020,2,NE,2020-02-27T08:00:00Z,2020-02-27T13:08:00Z,5.13,39.20105,-4.89371,Tanga,Mkinga,Zingibari,Petukiza,Mwani,17,RN,Caranx tille,Caranx,NA,300,8000,58.44155845,58.47953216
27/02/2020,2,NE,2020-02-27T09:30:00Z,2020-02-27T13:30:00Z,4,38.98756,-6.25681,Pwani,Bagamoyo,Mwambao,Kastam(Custom),Manyema,42,RN,Decapterus kurroides,Mackerel,NA,120,6,30,30
